title,channel_id,channel_link,likes,views,comments,duration,date,thumb,family_friend,extraction_date
GANHEI O PIOR CARRO DE PRESENTE DO TIU LUQUINHA!,UCsMDJc3aq2qxh0bu53gToFQ,http://www.youtube.com/channel/UCsMDJc3aq2qxh0bu53gToFQ,21644,256687,554,00:18:32,2024-08-31T15:15:00-07:00,http://img.youtube.com/vi/2NY3wgdDZG0/maxresdefault.jpg,1,2024-09-02
AO VIVO E COM IMAGENS: REMO X BOTAFOGO | RODADA 01| SEGUNDA FASE | SÉRIE C 2024,UCMcc9elPZGpg6eU4i3YaCpA,http://www.youtube.com/channel/UCMcc9elPZGpg6eU4i3YaCpA,28700,703224,43,02:58:35,2024-08-31T15:54:55-07:00,http://img.youtube.com/vi/-aBbwoq9_Eo/maxresdefault.jpg,1,2024-09-02
the skibidi wars 107 (part 2),UCtMW9MSme3cw-kqhKenF13A,http://www.youtube.com/channel/UCtMW9MSme3cw-kqhKenF13A,50814,1075805,1400,00:05:08,2024-09-01T03:00:06-07:00,http://img.youtube.com/vi/n2YoO9BswU8/maxresdefault.jpg,1,2024-09-02
"ME CHAMA, EU VOU - Rey Vaqueiro e @NatanzinhoLimaOficial (Esquenta do Rey)",UCwWry-1Ho6k4FjPimZYu-nQ,http://www.youtube.com/channel/UCwWry-1Ho6k4FjPimZYu-nQ,7177,165250,442,00:03:33,2024-08-30T14:00:06-07:00,http://img.youtube.com/vi/uRPFIQnjADM/maxresdefault.jpg,1,2024-09-02
PRENDI o PET do meu amigo no VOID...,UCmhx7Q1WRB85e7bF-MHcehA,http://www.youtube.com/channel/UCmhx7Q1WRB85e7bF-MHcehA,6378,120305,294,00:20:57,2024-08-31T05:45:00-07:00,http://img.youtube.com/vi/CzcdpPrcwpI/maxresdefault.jpg,1,2024-09-02
"Mbappé DESENCANTA, Real Madrid ofusca estreia de Vitor Roque no Betis e volta a vencer em LALIGA",UCw5-xj3AKqEizC7MvHaIPqA,http://www.youtube.com/channel/UCw5-xj3AKqEizC7MvHaIPqA,93762,1940776,3800,00:10:28,2024-09-01T15:14:06-07:00,http://img.youtube.com/vi/aS3h_onwb0E/maxresdefault.jpg,1,2024-09-02
XP da itens de MINÉRIO SECRETO no minecraft,UCGR6txIsYGGngIqjIzXt93Q,http://www.youtube.com/channel/UCGR6txIsYGGngIqjIzXt93Q,15905,208841,168,00:18:39,2024-08-30T14:30:05-07:00,http://img.youtube.com/vi/JGu6AcqF4oE/maxresdefault.jpg,1,2024-09-02
Zé Neto e Cristiano - Pulando o Muro #Intenso,UCRRu9OXVYd5clj2Bs29gUVQ,http://www.youtube.com/channel/UCRRu9OXVYd5clj2Bs29gUVQ,7481,688721,584,00:02:35,2024-08-30T08:00:48-07:00,http://img.youtube.com/vi/grQ991lneo4/maxresdefault.jpg,1,2024-09-02
Você consegue construir a base MAIS segura do Minecraft?,UCgrFZP2B8H6pWgPL1bAqkiQ,http://www.youtube.com/channel/UCgrFZP2B8H6pWgPL1bAqkiQ,22971,991087,674,00:50:34,2024-08-23T05:00:06-07:00,http://img.youtube.com/vi/5reGZ-NJG7w/maxresdefault.jpg,1,2024-09-02
"MC IG, MC RYAN SP, MC HARIEL - QUER FALAR O QUE? (DJ MURILLO E LT, FEPACHE) [FAIXA 07 - BAD BOYS]",UCYLWk7x2Jg9CRD71MnPRTOg,http://www.youtube.com/channel/UCYLWk7x2Jg9CRD71MnPRTOg,28616,1318690,1100,00:05:30,2024-08-21T17:00:06-07:00,http://img.youtube.com/vi/JJRuIndvE4w/maxresdefault.jpg,1,2024-09-02
