channel_id,channel_name,icon,banner,subscriptions,videos,views,date_creation,channel_location,extraction_date,silver_play_button,silver_gold_button,diamond_play_button
UCmkSzYG4ykYKFE4Ow0030zw,Grupo Menos é Mais,https://yt3.googleusercontent.com/vFwXUWke2bZgLR8t0U9fvmedo6sCIVWUmFJTnQzsJS2mSw-nW1_33OyG4egnOIih4fLpmpxN=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/sXsRK0OgotiB_tYkKhH18INrzhJH6TWAJ27nTDAYVsrDaqznimck9VDaTDkTRfh2DQv5qdAbag=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",4220000,419,2816032399,2018-11-6,Brasil,2024-09-02,true,true,false
UCWwE79E_-in6WnX9qm2oFcw,Paulo Vita Show,https://yt3.googleusercontent.com/s-5a2vilmEbaKyEDPD1KhxxTkzyEBaVhslMXcqJJVXpt8lXHW7zuTgLC5e6uE2dkpoHH3ore6Cw=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/ulkz4XLxOw3Ddiz2pJmgdXztX9QePEZDgbcUqwaKqMvXPvxGMYlo3Cmi6nTReaGhB_G-7Qy2=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",421000,104,32327378,2024-04-16,Brasil,2024-09-02,true,false,false
UCG90vRbG7aMXu0nD0DQ2wFA,MC Luuky,https://yt3.googleusercontent.com/OshRY-a1ZfwYmbhBZTD5xhOrkkqqrD4a-DJa6Gatwu9vOYBeRugYsLubV8bSN4SCLhqJb5Oe=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/F2EmccdlAoT6bArwDxUSe1gEOE7fEPMKM97qY12Wg589iBXe_hZT3rCMRtG5650iwFnEPgB2CQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",56800,5,38204522,2016-05-26,Brasil,2024-09-02,false,false,false
UC6rwiIxv0w2fbmmr66wl1rA,Luan Santana,https://yt3.googleusercontent.com/h4TX_7nXoRVOkrjsLwFLzYBMPbEk5HcO4-IqPYUjx80sTXkuUBziiPx1bdtE_tl1TqUwtza7ObY=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/mq5azdBgS3zUdGkaGy25Oa2eC_aG3ZpGQnfxKUKeAz0hOtDWjOX5RHZEuqOGg_ItrkxH5UPjpw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",12700000,509,6856247190,2009-03-10,Estados Unidos,2024-09-02,true,true,true
UCwnSOhrpJLe-bwARGDMQEVA,Lyons Produções,https://yt3.googleusercontent.com/ytc/AIdro_l9y3GG7KrNVHJ0UoJFRhC6ucvZx531Qg8_CsxnSC8DPw=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Q4kykIA068-f5p00gh_nXMjLZB-N9esO4d0LjI4_jcKXivv1cw9bPV0KfNPyyTaZHTEqnq6k=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",470000,122,262095254,2019-09-4,Brasil,2024-09-02,true,false,false
UCooVYzDxdwTtGYAkcPmOgOw,Brawl Stars,https://yt3.googleusercontent.com/Gtbz6C-MEA3cDKEotcjBdOwwmobQz4fEgM_gTx_w_nDU7ddj5mu3nkEDxWy0aVavkm2kIPWQog=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/9VJ3Qhq9X4Smll6rj2NiUKI24RYKEM7yR-dvReTshbFKu7XMU8qHClCf16FD6vh99egQFW5vvg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",19600000,233,2742021301,2017-04-28,Finlândia,2024-09-02,true,true,true
UCpf5YXmzGHC4m5uLCdlrrfA,Todah Music,https://yt3.googleusercontent.com/YlCLznOKBSj-syiThuNZbrGlTWlkt83VCpxi2k0lIznl5HFpPc4ZOJdhX0StKw6AO9HFvoRM=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/UlP6z1WyFfpMCJh8LEEqihGiQThLRfvvlikSxpTcWEhbMTQFuZNJOmUnZoCX_ArS6uiYj_Tc2w=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",6560000,943,4004835484,2014-07-30,Brasil,2024-09-02,true,true,false
UCgrFZP2B8H6pWgPL1bAqkiQ,Fixz,https://yt3.googleusercontent.com/BbucNXiZIaw9vzDUc-4SccegP_3ztBy51CCD-VvDozFx6zQqYWKYPyJADzfGX60vRrjloFFPYA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/V5_WZPUFnDuPjr455mqfXAtkcunsRf6pJolQH7WFokSc7vBpL8YE0uwLn3ckY0n11nw5bLYUcds=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",1210000,321,168677628,2016-03-13,Brasil,2024-09-02,true,true,false
UCukwGwBD-pAbGzoJo6ZXPtQ,Tonigon,https://yt3.googleusercontent.com/sExY7MWl0wQGH55-PAFWlAgplTf0ra013CN1fpf8yKE2ToSo1G1QhfFFDVYC61bSGA3ggvAzaA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/RZsbvvgaLEpA8I2fI77zSfDkbYm5TCNiR7xDtPwiNPvbafUh2e28-qRP9BL7k3WueE56kDB6zg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",3440000,428,687611642,2017-04-29,Brasil,2024-09-02,true,true,false
UCXbboag48Qlr78zzz6SkzkQ,US Open Tennis Championships,https://yt3.googleusercontent.com/G6y6Uwh7ES_Hcy6QVszC_m8AAJGOa4inVPR8sg8F3tzd32tPBFGk3K-cX4695UQK1DGbkd5bhCI=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/kH10OqaiGSXRrpiFFP0wTybT48-qfvfFwASznj0MOByLswZN4p9OOjjV5lhztR0ABgZEeRvPzQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",1360000,8608,1768376337,2006-07-2,Estados Unidos,2024-09-02,true,true,false
